input	filtered	denoisedF	denoisedR	merged	nonchim
61	72747	54000	53347	53246	50785	49648
62	52655	41694	40560	40790	35854	34863
63	76918	61311	60719	60702	57956	55886
64	66990	52576	51664	51882	47994	46679
65	73383	54662	53451	53738	50667	50096
66	74478	58908	58339	58241	55996	53497
67	57451	44920	44309	44208	41191	40820
68	75442	57853	57280	57169	54546	53056
69	54821	41159	40632	40577	38703	38161
6	68318	54885	54162	54146	50879	49787
70	54354	44873	44198	44249	40934	39449
71	79874	61473	61016	60916	58458	57299
72	81441	62095	61445	61539	58906	57961
73	69056	55070	54332	54317	51626	50547
74	73895	61730	60851	60847	57270	54810
75	108518	91683	90076	89902	81997	78031
76	95822	81216	79827	80089	75133	71691
77	88013	74112	72874	72897	67430	64576
78	91227	76269	75297	75214	71346	70726
79	69073	58270	57385	57445	54208	53054
7	42636	32956	32528	32425	30756	30698
80	90169	73350	72347	72325	68398	66865
81	60618	49142	48257	48341	45234	44414
82	54316	45272	44774	44714	42644	42158
83	71880	58467	58008	57898	55998	53728
84	83028	67777	67110	67029	64204	63421
85	74488	59434	57654	57975	50475	48555
86	57272	47114	46422	46433	43917	42606
87	95933	82166	81166	81068	75961	73929
88	64677	54873	53977	54044	50462	47886
89	82707	64282	63575	63410	60480	60168
8	49488	37992	37197	37379	34148	33498
90	56965	46853	46089	46231	43857	43519
91	67063	55984	54841	54978	50277	49038
92	94088	78293	77191	77015	72862	70479
93	51648	40493	39927	40005	38125	36882
94	57786	46703	46004	46045	43626	42683
95	69284	57261	56233	56298	52259	48956
96	78903	65197	64287	64352	61313	60858
97	75566	57462	56817	56698	53769	53524
98	73135	57220	55970	56177	50292	47644
99	52112	38775	38241	38212	35915	34957
9	43633	32402	32020	32001	30309	30282
